city,date,aqi,pollution,level,cond
嘉兴,2012-08-26,44,--,Ⅰ,优	
嘉兴,2012-08-27,41,--,Ⅰ,优	
嘉兴,2012-08-28,43,--,Ⅰ,优	
嘉兴,2012-08-29,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-30,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-31,46,--,Ⅰ,优	
嘉兴,2012-09-01,33,--,Ⅰ,优	
嘉兴,2012-09-02,32,--,Ⅰ,优	
嘉兴,2012-09-03,44,--,Ⅰ,优	
嘉兴,2012-09-04,48,--,Ⅰ,优	
嘉兴,2012-09-05,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-06,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-07,38,--,Ⅰ,优	
嘉兴,2012-09-08,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-09,49,--,Ⅰ,优	
嘉兴,2012-09-10,38,--,Ⅰ,优	
嘉兴,2012-09-11,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-12,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-13,65,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-14,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-15,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-16,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-17,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-18,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-19,103,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-09-20,101,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-09-21,85,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-22,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-23,57,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-24,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-25,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-26,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-27,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-28,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-29,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-09-30,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-01,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-02,82,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-03,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-04,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-05,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-06,116,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-10-07,75,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-08,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-09,57,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-10,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-11,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-12,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-13,49,--,Ⅰ,优	
嘉兴,2012-10-14,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-15,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-16,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-17,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-18,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-19,78,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-20,47,--,Ⅰ,优	
嘉兴,2012-10-21,73,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-22,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-23,90,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-24,97,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-25,81,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-26,86,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-27,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-28,126,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-10-29,131,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-10-30,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-10-31,55,可吸入颗粒物,Ⅱ,良	
